Name,Price,Year,Engine,Distance,City
Hyundai Santa Fe,30 000 AZN,2014,2.0 L,90 000 km,Bakı
Toyota Camry,49 500 $,2024,2.0 L,0 km,Bakı
Kia Forte,20 300 AZN,2016,1.8 L,110 000 km,Bakı
Hyundai Sonata,39 800 AZN,2020,1.6 L,52 677 km,Bakı
Chevrolet Cruze,14 700 AZN,2014,1.4 L,220 000 km,Bakı
Nissan Qashqai,21 000 AZN,2013,2.0 L,153 000 km,Gəncə
Mitsubishi Lancer,12 000 AZN,2006,1.3 L,220 000 km,Bakı
Toyota Corolla,14 500 AZN,2006,1.4 L,12 345 km,Göyçay
Jeep Commander,20 500 AZN,2006,3.0 L,387 000 km,Sumqayıt
BMW 328,18 500 $,2015,2.0 L,115 000 km,Bakı
Geely Emgrand,34 900 AZN,2024,1.5 L,0 km,Bakı
BMW X5,19 500 $,2008,3.0 L,247 400 km,Bakı
Mercedes E 300,43 000 $,2018,2.0 L,90 000 km,Bakı
ZEEKR X,33 990 $,2023,0.0 L,0 km,Bakı
Mercedes E 220 d,17 500 AZN,2000,2.2 L,300 300 km,Sabirabad
LADA (VAZ) 2107,7 900 AZN,2011,1.6 L,99 000 km,Bakı
Hyundai Elantra,25 500 AZN,2019,2.0 L,141 233 km,Bakı
BMW 328,33 500 AZN,2015,2.0 L,81 000 km,Quba
ZEEKR X,33 990 $,2023,0.0 L,0 km,Bakı
HOWO Sinotruk,62 000 AZN,2011,9.6 L,350 000 km,Ağdam
Volvo XC90,32 700 $,2017,2.0 L,191 000 km,Bakı
Mercedes Axor 4140,275 000 AZN,2011,5.2 L,200 000 km,Bakı
Volkswagen Tiguan,61 500 AZN,2020,2.0 L,56 700 km,Bakı
ZIL 130,6 000 AZN,1990,4.6 L,91 000 km,Bakı
Mercedes E 250,28 500 AZN,2010,2.2 L,295 000 km,Bakı
Land Rover Discovery,27 500 AZN,2007,2.7 L,289 000 km,Bakı
Jeep Grand Cherokee,34 900 $,2020,3.0 L,101 000 km,Bakı
Toyota Highlander,42 900 $,2021,2.5 L,30 000 km,Bakı
MG Marvel R,73 200 AZN,2024,0.0 L,0 km,Bakı
Porsche Macan,37 000 $,2017,2.0 L,113 000 km,Bakı
Kia Sorento,36 000 AZN,2016,2.0 L,188 000 km,Bakı
Toyota Camry,39 900 $,2022,2.5 L,29 700 km,Bakı
LADA (VAZ) 2104,6 500 AZN,2006,1.5 L,71 200 km,Bakı
Nissan Teana,18 000 AZN,2011,2.5 L,141 000 km,Zaqatala
Hyundai Genesis,23 500 $,2015,3.0 L,145 000 km,Bakı
Toyota Land Cruiser,37 800 $,2012,4.0 L,196 000 km,Bakı
LADA (VAZ) 2106,7 500 AZN,1999,1.6 L,125 678 km,Ağdaş
MV Agusta F3 800,12 900 $,2014,0.8 L,3 000 km,Bakı
Land Rover Discovery,27 500 AZN,2007,2.7 L,289 000 km,Bakı
Mercedes Vito 115,24 900 AZN,2007,2.2 L,420 000 km,Şabran
GAZ 3110,4 500 AZN,1998,2.4 L,250 000 km,Gəncə
Toyota Prius,10 600 AZN,2006,1.5 L,181 500 km,Bakı
Kia K5,27 900 AZN,2015,2.0 L,130 000 km,Bakı
BMW 530,37 500 $,2019,2.0 L,45 000 km,Bakı
BMW 528,19 500 $,2015,2.0 L,163 700 km,Gəncə
Li Auto L7,56 500 $,2024,1.5 L,0 km,Bakı
Hyundai i30,14 200 AZN,2010,1.4 L,158 000 km,Bakı
Mercedes Vito,33 800 AZN,2014,2.2 L,314 557 km,Sumqayıt
Kia Cerato,21 800 AZN,2016,2.0 L,97 000 km,Bakı
Mercedes 410 D,17 000 AZN,1991,2.9 L,200 000 km,Mingəçevir
Toyota Prius,10 000 AZN,2009,1.5 L,344 400 km,Bakı
Mercedes ML 350,19 000 $,2013,3.5 L,205 000 km,Bakı
Mercedes Vito,9 700 AZN,1997,2.3 L,600 000 km,Bakı
Hyundai Sonata,25 800 AZN,2014,2.4 L,198 234 km,Bakı
Kia Sorento,29 800 AZN,2011,2.2 L,191 200 km,Gəncə
Opel Astra,12 500 AZN,2007,1.4 L,164 000 km,Bakı
Kia Rio,9 200 AZN,2005,1.5 L,239 000 km,Bakı
Hyundai Grandeur,34 500 $,2021,2.5 L,50 590 km,Bakı
Jeep Grand Cherokee,23 900 $,2013,3.6 L,178 000 km,Bakı
Land Rover RR Sport,44 400 $,2015,3.0 L,85 000 km,Bakı
Mercedes GLS 450 4MATIC,57 700 $,2018,3.0 L,94 000 km,Bakı
Land Rover Discovery,43 000 $,2018,2.0 L,124 000 km,Bakı
Maple X3 Pro,15 300 $,2024,1.5 L,0 km,Bakı
Mitsubishi L200,33 540 $,2023,2.4 L,0 km,Bakı
Jeep Grand Cherokee,64 900 $,2022,2.0 L,0 km,Bakı
Volkswagen Touareg,132 900 AZN,2024,2.0 L,0 km,Bakı
BMW 528,22 300 $,2015,2.0 L,73 000 km,Bakı
Hyundai Santa Fe,35 600 AZN,2017,2.0 L,48 900 km,Bakı
Toyota Corolla,16 900 AZN,2008,1.8 L,201 000 km,Bakı
Toyota Camry,21 500 AZN,2011,2.4 L,200 000 km,Bakı
Mercedes ML 350 4MATIC,27 500 $,2012,3.5 L,194 000 km,Bakı
Toyota Land Cruiser Prado,30 500 AZN,2008,2.7 L,247 000 km,Bakı
Toyota C-HR,28 500 $,2022,2.0 L,19 000 km,Bakı
Li Auto L9,62 500 $,2023,1.5 L,4 300 km,Bakı
Land Rover RR Sport,45 500 $,2016,3.0 L,95 000 km,Bakı
Land Rover Range Rover,59 900 $,2017,3.0 L,67 000 km,Bakı
BMW X6,27 700 $,2013,3.0 L,139 000 km,Bakı
