Name,Price,Year,Engine,Distance,City
Kia Ceed,16 700 AZN,2009,1.6 L,268 000 km,Bakı
Lexus LX 470,20 700 $,2006,4.7 L,214 000 km,Bakı
Volkswagen Touareg,19 900 $,2013,3.6 L,235 000 km,Bakı
Toyota Land Cruiser Prado,31 900 AZN,2009,2.7 L,257 000 km,Bakı
Lexus GX 460,34 800 $,2014,4.7 L,137 000 km,Bakı
Mercedes S 400,39 900 $,2013,3.0 L,207 000 km,Bakı
LADA (VAZ) 2110,5 300 AZN,1998,1.5 L,339 336 km,Tovuz
Kia K5,42 500 AZN,2021,1.6 L,26 000 km,Bakı
Kia Optima,31 900 AZN,2015,2.0 L,135 000 km,Bakı
BMW 650,39 900 $,2013,4.4 L,99 000 km,Bakı
BMW 528,22 700 $,2015,2.0 L,100 000 km,Bakı
BMW 528,28 800 AZN,2012,2.0 L,169 000 km,Bakı
BMW 528,31 800 AZN,2012,2.0 L,138 000 km,Bakı
LADA (VAZ) 2115,6 400 AZN,2004,1.5 L,224 500 km,Sumqayıt
Kia Sorento,45 200 AZN,2019,2.0 L,136 000 km,Bakı
BMW 328,19 800 $,2013,2.0 L,123 000 km,Bakı
BMW 328,20 800 $,2015,2.0 L,103 000 km,Bakı
Toyota Camry,31 900 $,2018,2.5 L,169 000 km,Bakı
Toyota Camry,29 900 $,2020,2.5 L,16 000 km,Bakı
Hyundai Elantra,27 600 AZN,2019,2.0 L,67 500 km,Bakı
Land Rover Range Rover,65 700 $,2017,3.0 L,57 000 km,Bakı
Lexus LX 470,32 800 AZN,2007,4.7 L,127 000 km,Bakı
Kia Sportage,38 700 AZN,2020,2.0 L,60 000 km,Bakı
Mercedes V 250,35 500 $,2014,2.1 L,271 000 km,Bakı
LADA (VAZ) Granta,17 800 AZN,2024,1.6 L,0 km,Bakı
Jaguar F-Pace,51 500 $,2022,2.0 L,46 000 km,Bakı
Mercedes C 240,12 000 AZN,1999,2.4 L,382 000 km,Bakı
Land Rover Range Rover,85 000 $,2020,3.0 L,81 300 km,Bakı
Toyota Urban Cruiser,26 600 $,2023,1.5 L,0 km,Bakı
BMW 320,20 000 $,2013,2.0 L,97 000 km,Bakı
Hyundai Sonata,17 900 $,2018,1.7 L,109 000 km,Bakı
Bestune T99,35 000 AZN,2021,2.0 L,62 000 km,Bakı
Opel Zafira,7 500 AZN,2006,1.9 L,712 000 km,Bakı
Hyundai Elantra,21 900 AZN,2012,1.8 L,156 000 km,Bakı
LADA (VAZ) 2106,3 500 AZN,1984,1.6 L,50 800 km,Bakı
Mitsubishi Lancer,8 900 AZN,2006,1.6 L,410 000 km,Bakı
Kia Sorento,50 300 AZN,2019,2.0 L,83 000 km,Bakı
Kia Sorento,40 500 AZN,2015,2.0 L,115 000 km,Bakı
Chevrolet Cruze,13 900 AZN,2013,1.4 L,140 000 km,Bakı
BMW 528,38 500 AZN,2015,2.0 L,151 000 km,Bakı
Hyundai Sonata,28 700 AZN,2015,2.0 L,147 000 km,Bakı
Hyundai Sonata,22 800 AZN,2013,2.0 L,157 000 km,Bakı
Hyundai Sonata,22 900 AZN,2012,2.0 L,168 000 km,Bakı
Kia Cerato,21 900 AZN,2015,1.8 L,124 000 km,Bakı
Opel Corsa,10 300 AZN,2009,1.4 L,264 000 km,Naftalan
Land Rover Range Rover,97 500 $,2019,3.0 L,71 000 km,Bakı
Toyota Camry,20 900 AZN,2008,2.4 L,310 000 km,Bakı
Kia Rio,10 200 AZN,2006,1.4 L,340 000 km,Bakı
Mercedes E 220 d,16 300 AZN,2001,2.2 L,436 000 km,Bakı
Ford Fusion (North America),21 900 AZN,2016,1.5 L,105 000 km,Bakı
Porsche Panamera GTS,48 900 $,2015,4.8 L,98 000 km,Bakı
Mercedes E 270,21 900 AZN,2001,2.7 L,747 500 km,Sumqayıt
LADA (VAZ) 2103,2 200 AZN,1979,1.3 L,300 000 km,Bakı
Chevrolet Malibu,23 900 AZN,2015,1.5 L,82 000 km,Bakı
Mercedes E 220 d,14 500 AZN,2000,2.2 L,429 000 km,Bakı
Ford F-150,71 500 $,2021,2.7 L,47 000 km,Bakı
Opel Astra,4 400 AZN,1996,1.6 L,300 990 km,Bakı
Land Rover Range Rover,228 555 $,2023,3.0 L,0 km,Bakı
Toyota Corolla,13 800 AZN,2005,1.4 L,220 000 km,Sumqayıt
Avatr 11,54 500 $,2023,0.0 L,0 km,Bakı
BMW X1,63 500 €,2024,1.5 L,0 km,Bakı
Mercedes GL 350,62 500 AZN,2013,3.0 L,200 000 km,Bakı
BMW 528,38 500 AZN,2015,2.0 L,151 000 km,Bakı
Skoda Superb,45 700 AZN,2022,2.0 L,40 000 km,Bakı
Land Rover Range Rover,71 800 $,2018,3.0 L,78 400 km,Bakı
Chevrolet Aveo,18 000 AZN,2018,1.6 L,79 000 km,Bakı
Cadillac Escalade,20 500 $,2010,6.2 L,190 000 km,Bakı
BMW X5,60 900 $,2021,3.0 L,30 000 km,Bakı
Hyundai Santa Fe,55 900 AZN,2017,2.2 L,77 000 km,Bakı
Opel Astra,4 400 AZN,1996,1.6 L,300 990 km,Bakı
Chevrolet Malibu,24 900 AZN,2017,1.5 L,83 000 km,Bakı
Chevrolet Malibu,22 700 AZN,2016,1.5 L,115 000 km,Bakı
Chevrolet Malibu,23 900 AZN,2016,1.5 L,140 000 km,Bakı
Hyundai Accent,21 000 AZN,2018,1.6 L,61 139 km,Bakı
BMW 530,34 000 $,2018,2.0 L,101 000 km,Bakı
Renault Grand Scenic,13 500 AZN,2012,1.5 L,180 000 km,Bakı
Nissan Tiida,14 500 AZN,2012,1.5 L,78 000 km,Gəncə
BMW 530,17 400 AZN,2003,3.0 L,362 000 km,Bakı
Volkswagen Touareg,12 800 AZN,2003,3.2 L,292 000 km,Lənkəran
Nissan Tiida,14 200 AZN,2012,1.5 L,56 000 km,Bakı
Opel Astra,8 200 AZN,1999,1.6 L,227 805 km,Ucar
LADA (VAZ) 2106,3 800 AZN,1983,1.5 L,99 000 km,Salyan
BMW X6,25 500 AZN,2008,3.0 L,191 943 km,Bakı
Hyundai Elantra,19 999 AZN,2014,1.8 L,234 964 km,Sumqayıt
LADA (VAZ) 2107,8 300 AZN,2012,1.6 L,100 221 km,Bakı
BMW 525,19 500 AZN,2006,2.5 L,257 000 km,Bakı
Subaru Impreza,11 500 AZN,2010,1.5 L,311 000 km,Bakı
Land Rover RR Evoque,33 800 AZN,2013,2.0 L,217 261 km,Bakı
Hyundai Elantra,20 500 AZN,2011,1.8 L,134 810 km,Tərtər
Ford Transit,22 800 AZN,2008,2.4 L,238 324 km,Sumqayıt
BMW 528,8 800 AZN,1996,2.8 L,484 000 km,Hacıqabul
Ford Tourneo Custom,27 000 AZN,2017,2.0 L,156 000 km,Bakı
Toyota Highlander,44 700 $,2021,2.5 L,61 000 km,Bakı
Toyota Camry,43 900 $,2023,2.5 L,0 km,Bakı
Land Rover Range Rover,32 900 $,2012,5.0 L,198 000 km,Xırdalan
Land Rover Defender,89 500 $,2022,3.0 L,22 000 km,Bakı
Mercedes AMG GT 53,115 000 $,2019,3.0 L,27 000 km,Bakı
Hyundai Sonata,24 800 AZN,2014,2.0 L,103 000 km,Bakı
Lexus LS 460,24 200 AZN,2007,4.6 L,245 000 km,Bakı
Mercedes E 220 d,21 000 AZN,2008,2.2 L,399 000 km,Bakı
Land Rover Range Rover,64 500 $,2016,3.0 L,92 000 km,Bakı
Mercedes SLK 230,12 000 AZN,1997,2.3 L,313 000 km,Bakı
Changan Eado Plus,44 328 AZN,2022,1.4 L,51 000 km,Bakı
Toyota Corolla Cross,25 200 $,2024,2.0 L,1 km,Bakı
Toyota Prius,9 500 AZN,2008,1.5 L,593 848 km,Bakı
LADA (VAZ) Kalina,9 500 AZN,2007,1.6 L,7 326 km,Bakı
Renault Megane,6 500 AZN,2005,1.5 L,111 110 km,Sumqayıt
Hyundai Santa Fe,33 500 AZN,2014,2.0 L,166 000 km,Bakı
Ford Transit,17 000 AZN,2000,2.5 L,350 000 km,Kürdəmir
Mercedes GLE 350 4MATIC,68 000 $,2019,2.0 L,68 000 km,Bakı
Toyota Land Cruiser Prado,40 500 $,2018,2.7 L,265 000 km,Bakı
Toyota Prius,11 500 AZN,2008,1.5 L,207 000 km,Bakı
Mercedes Sprinter 316,53 000 $,2019,2.2 L,246 000 km,Bakı
Mercedes C 240,12 200 AZN,1998,2.4 L,242 237 km,Sumqayıt
Nissan Teana,7 600 AZN,2006,2.3 L,268 532 km,Sumqayıt
Toyota Prius,10 400 AZN,2007,1.5 L,480 846 km,Bakı
Kia Rio,9 300 AZN,2006,1.5 L,285 000 km,Bakı
BMW 528,18 900 $,2014,2.0 L,218 000 km,Bakı
Audi A6,7 800 AZN,2003,2.7 L,300 000 km,Bakı
Lexus LX 470,17 000 $,2006,4.7 L,282 831 km,Bakı
Mercedes S 320,12 500 AZN,1999,3.2 L,298 000 km,Bakı
Mercedes E 320,21 800 AZN,2004,3.2 L,274 000 km,Bakı
Kia Morning,13 300 AZN,2014,1.0 L,103 000 km,Bakı
Lexus GX 460,38 500 $,2013,4.6 L,93 000 km,Bakı
Ford Transit,31 000 AZN,2011,2.4 L,170 000 km,Bakı
Toyota Camry,28 600 $,2019,2.5 L,32 500 km,Bakı
Hyundai Sonata,20 800 AZN,2010,2.0 L,178 000 km,Bakı
Kia K7,33 800 $,2020,2.2 L,102 500 km,Bakı
Hyundai Avante,26 000 AZN,2015,1.6 L,200 000 km,Bakı
Toyota Highlander,63 000 $,2024,2.5 L,0 km,Bakı
Voyah Free,43 900 $,2024,1.5 L,0 km,Bakı
Mercedes 190,5 000 AZN,1990,2.0 L,250 000 km,Sumqayıt
Chery Tiggo 7 Pro,39 900 AZN,2023,1.5 L,0 km,Bakı
Hyundai ix35,23 899 AZN,2010,2.0 L,226 000 km,Bakı
BMW X5,37 900 $,2015,3.0 L,178 000 km,Bakı
Lexus NX 250,100 000 AZN,2023,2.5 L,10 200 km,Bakı
Hyundai Santa Fe,34 500 AZN,2015,2.0 L,160 300 km,Bakı
Mercedes Vito 115,23 650 AZN,2005,2.2 L,400 005 km,Bakı
Hyundai Santa Fe,33 500 AZN,2017,2.0 L,111 000 km,Bakı
Kia Sportage,25 300 AZN,2014,2.0 L,192 000 km,Bakı
Hyundai Sonata,17 800 AZN,2008,2.4 L,228 678 km,Bakı
Hyundai Avante,26 000 AZN,2015,1.6 L,200 000 km,Bakı
Mercedes E 220 d,21 400 $,2015,2.2 L,168 000 km,Bakı
Hyundai Santa Fe,35 000 AZN,2014,2.2 L,202 000 km,Bakı
Hyundai Tucson,30 000 AZN,2016,2.0 L,190 000 km,Bakı
Mercedes C 180,11 500 AZN,1998,1.8 L,328 000 km,Gəncə
Land Rover Discovery Sport,29 000 $,2018,2.0 L,106 000 km,Bakı
Mercedes C 240,12 500 AZN,1999,2.4 L,321 000 km,Şəmkir
Jaguar F-Type S,39 900 $,2013,5.0 L,49 950 km,Bakı
Volvo XC90,43 900 $,2018,2.0 L,69 800 km,Bakı
BMW 328,31 000 AZN,2014,2.0 L,22 200 km,Gəncə
Honda Accord,25 800 AZN,2015,2.0 L,180 000 km,Bakı
Ford Fusion (North America),25 500 AZN,2018,1.5 L,86 000 km,Bakı
Nissan X-Trail,41 500 AZN,2020,2.0 L,32 000 km,Bakı
Hyundai Kona,29 500 AZN,2018,2.0 L,135 185 km,Bakı
Mitsubishi Pajero,13 800 AZN,2004,3.0 L,315 000 km,Bakı
Ford Fusion (North America),25 500 AZN,2019,1.5 L,142 427 km,Bakı
Volkswagen Golf,5 900 AZN,1993,2.8 L,220 000 km,Bakı
Kia Sorento,40 500 AZN,2015,2.0 L,220 000 km,Bakı
GAZ 330202-740,9 000 AZN,2007,2.5 L,300 000 km,Xızı
BMW 528,7 500 AZN,1997,2.8 L,216 318 km,Şirvan
BMW 528,37 500 AZN,2015,2.0 L,189 000 km,Bakı
Toyota Land Cruiser Prado,34 000 AZN,2008,2.7 L,202 000 km,Bakı
LADA (VAZ) 2107,6 100 AZN,2009,1.6 L,99 000 km,Cəlilabad
BMW 528,15 300 $,2012,2.0 L,155 000 km,Bakı
Kia Stonic,35 500 AZN,2023,1.4 L,0 km,Bakı
Volvo XC90,78 543 €,2023,2.0 L,0 km,Bakı
GAC GS3 Emzoom,39 900 AZN,2024,1.5 L,0 km,Bakı
Kia Carnival,87 900 AZN,2023,2.2 L,0 km,Bakı
Land Rover RR Sport,33 500 $,2013,3.0 L,100 000 km,Bakı
Toyota Land Cruiser,43 000 $,2011,4.5 L,187 000 km,Bakı
Mercedes C 220 d,7 800 AZN,1997,2.2 L,564 000 km,Bakı
Land Rover Discovery Sport,29 000 $,2018,2.0 L,106 000 km,Bakı
Opel Astra,10 700 AZN,2008,1.3 L,290 000 km,Bakı
Lexus LX 570,42 500 $,2011,5.7 L,170 000 km,Bakı
Changan CS 55 Plus,36 400 AZN,2021,1.5 L,26 000 km,Bakı
Lexus ES 300h,37 900 $,2022,2.5 L,23 000 km,Bakı
BMW 528,23 000 $,2015,2.0 L,120 000 km,Bakı
BMW 320,10 500 AZN,2007,2.0 L,450 000 km,Bakı
Land Rover RR Sport,43 500 AZN,2012,3.0 L,215 350 km,Bakı
Volvo FH 13,75 000 AZN,2010,13 L,1 327 000 km,Bakı
Toyota Corolla,11 234 AZN,2006,1.4 L,327 584 km,Bakı
Mercedes G 63 AMG,58 500 $,2013,5.5 L,142 000 km,Bakı
Kia Sportage,27 500 AZN,2014,2.0 L,135 900 km,Bakı
Hyundai Elantra,24 300 AZN,2017,2.0 L,134 242 km,Zaqatala
Mercedes E 230,9 000 AZN,1995,2.3 L,373 500 km,Bakı
Ford Transit,23 000 AZN,2008,2.4 L,350 000 km,Ağdaş
Mazda 6,24 700 AZN,2013,2.5 L,228 935 km,Bakı
BMW X5,15 800 AZN,2001,4.4 L,295 000 km,Sumqayıt
Mercedes E 270,15 500 AZN,2000,2.7 L,342 000 km,Mingəçevir
Kia Sorento,38 900 AZN,2015,2.0 L,166 553 km,Bakı
Mercedes E 220 d,29 500 AZN,2011,2.2 L,302 547 km,Bakı
Toyota Prius,16 500 AZN,2010,1.8 L,168 000 km,Bakı
Jeep Grand Cherokee,15 500 $,2012,3.6 L,270 000 km,Bakı
Kia Sorento,35 000 AZN,2015,2.0 L,152 000 km,Bakı
LADA (VAZ) 2106,3 500 AZN,1984,1.6 L,20 981 km,Bakı
Opel Astra,7 600 AZN,1999,2.0 L,223 000 km,Bakı
LADA (VAZ) 21099,4 500 AZN,1997,1.5 L,200 000 km,Gəncə
Ford Mustang,19 500 $,2014,2.3 L,130 km,Bakı
Mercedes S 350 d 4MATIC,65 500 $,2018,3.0 L,127 000 km,Bakı
Changan Uni-V,23 900 $,2023,1.5 L,0 km,Bakı
Skoda Kodiaq,66 900 AZN,2023,2.0 L,0 km,Bakı
BMW X7,134 900 €,2023,3.0 L,0 km,Bakı
Haval Jolion,44 900 AZN,2023,1.5 L,0 km,Bakı
Land Rover Range Rover,223 500 $,2023,3.0 L,0 km,Bakı
Porsche Macan GTS,46 000 $,2017,3.0 L,53 000 km,Bakı
BMW 330,23 500 $,2017,2.0 L,112 000 km,Bakı
BMW 320,22 500 $,2015,2.0 L,222 000 km,Bakı
BMW X5,34 900 $,2016,2.0 L,152 000 km,Bakı
BMW 530,32 900 $,2017,2.0 L,101 000 km,Bakı
Ford Transit,29 400 AZN,2009,2.4 L,149 000 km,Bakı
BMW 740,47 000 $,2018,3.0 L,147 000 km,Bakı
Chevrolet Malibu,22 600 AZN,2017,1.5 L,168 000 km,Bakı
Mercedes E 220 d,57 000 $,2021,2.2 L,29 000 km,Bakı
Mercedes E 230,7 000 AZN,1991,2.3 L,488 000 km,Bakı
Mercedes Atego 816,36 800 AZN,2008,4.3 L,615 440 km,Goranboy
Hyundai i30,15 900 AZN,2007,1.6 L,192 000 km,Bakı
Mercedes S 500,23 000 $,2011,4.7 L,149 000 km,Bakı
Opel Vectra,3 800 AZN,1994,2.0 L,25 000 km,Bərdə
Honda Civic,10 500 AZN,2006,1.3 L,284 000 km,Bakı
Ferrari California,185 000 $,2016,3.9 L,9 100 km,Bakı
LADA (VAZ) 21099,6 500 AZN,1998,1.5 L,150 000 km,Bakı
BMW 520,33 500 $,2019,2.0 L,72 000 km,Bakı
Hyundai Santa Fe,33 300 AZN,2015,2.0 L,163 301 km,Bakı
Mercedes C 180,10 200 AZN,1998,1.8 L,496 502 km,Bakı
Opel Astra,8 000 AZN,1998,1.6 L,289 000 km,Sumqayıt
Toyota Land Cruiser Prado,29 900 AZN,2008,2.7 L,235 000 km,Bakı
Nissan Juke,26 500 AZN,2014,1.6 L,50 500 km,Bakı
Chevrolet Cruze,16 700 AZN,2015,1.4 L,224 000 km,Bakı
Changan Uni-T,34 900 AZN,2022,1.5 L,44 000 km,Bakı
BMW 528,17 700 $,2012,2.0 L,186 684 km,Bakı
Nissan Sunny,8 800 AZN,2004,1.6 L,281 200 km,Bakı
BMW 520,32 900 AZN,2015,2.0 L,169 500 km,Bakı
Toyota Camry,34 500 $,2021,2.5 L,74 000 km,Bakı
Changan Deepal S7,29 400 $,2024,1.5 L,0 km,Bakı
Mercedes C 180,10 900 AZN,1999,1.8 L,430 000 km,Sumqayıt
Mazda 6,30 700 $,2022,2.5 L,12 500 km,Bakı
Toyota Crown,59 000 $,2023,2.5 L,0 km,Bakı
Jeep Grand Cherokee,64 900 $,2022,2.0 L,0 km,Bakı
Toyota Fortuner,49 540 $,2022,2.8 L,0 km,Bakı
Karry X5,36 000 AZN,2024,0.0 L,0 km,Bakı
Hyundai Sonata,48 000 AZN,2021,2.0 L,52 000 km,Gəncə
Toyota Prius,20 000 AZN,2012,1.8 L,270 370 km,Bakı
Volkswagen Bora,6 200 AZN,1999,1.6 L,187 000 km,Bakı
Chevrolet Cruze,13 500 AZN,2015,1.4 L,290 000 km,Sumqayıt
Kia Sorento,41 500 AZN,2018,2.0 L,123 000 km,Bakı
Mercedes Vito,160 000 AZN,2021,2.2 L,83 000 km,Bakı
Kia Sportage,25 800 AZN,2012,2.0 L,243 266 km,Bakı
Nissan Altima,21 000 AZN,2015,2.5 L,146 000 km,Bakı
Mazda 6,30 700 $,2022,2.5 L,12 500 km,Bakı
Opel Astra,12 300 AZN,2007,1.4 L,195 000 km,Sumqayıt
Mercedes Atego 822,36 500 AZN,2008,4.8 L,667 154 km,Gəncə
Hyundai Elantra,28 700 AZN,2020,2.0 L,17 703 km,Bakı
Toyota Corolla Fielder,22 900 AZN,2015,1.5 L,126 000 km,Bakı
Opel Astra,11 800 AZN,2005,1.4 L,197 000 km,Sumqayıt
Kia Optima,25 500 AZN,2014,2.0 L,142 000 km,Bakı
Kia Ceed,13 750 AZN,2008,1.6 L,336 989 km,Bakı
Honda M-NV,24 900 $,2023,0.0 L,0 km,Bakı
BMW 320,23 500 $,2017,2.0 L,86 000 km,Bakı
Kia Rio,5 950 AZN,2009,1.4 L,245 000 km,Bakı
Mercedes Sprinter 311,27 800 AZN,2007,2.2 L,157 228 km,Bakı
Volvo FH 500,125 000 AZN,2014,13 L,870 000 km,Bakı
BMW 528,24 900 AZN,2012,2.0 L,264 000 km,Bakı
Toyota Land Cruiser Prado,23 900 $,2011,2.7 L,198 000 km,Bakı
Nissan X-Trail,38 500 AZN,2021,2.0 L,15 000 km,Bakı
Tesla Model Y,41 500 $,2024,0.0 L,0 km,Bakı
Kia Sportage,27 200 AZN,2015,2.0 L,165 000 km,Bakı
Mercedes S 320,10 000 AZN,2000,3.2 L,228 000 km,Quba
Kia Cerato,27 900 AZN,2020,2.0 L,46 500 km,Bakı
Hyundai Santa Fe,21 200 AZN,2010,2.4 L,281 582 km,Bakı
Opel Vita,4 900 AZN,1997,1.4 L,260 000 km,Sumqayıt
Kia Sorento,35 900 AZN,2014,2.0 L,180 600 km,Bakı
Toyota Land Cruiser Prado,33 000 AZN,2008,2.7 L,243 096 km,İmişli
Toyota Highlander,60 500 $,2023,2.5 L,0 km,Bakı
Chevrolet Cruze,16 900 AZN,2017,1.4 L,119 500 km,Sumqayıt
Jeep Wrangler,78 000 $,2023,2.0 L,0 km,Bakı
Land Rover Defender,89 500 $,2022,3.0 L,22 000 km,Bakı
Honda Accord,27 900 $,2023,2.0 L,23 335 km,Bakı
Toyota Camry,38 900 $,2023,2.5 L,12 000 km,Bakı
Kia Cerato,21 000 $,2022,2.0 L,12 000 km,Bakı
Kia Sorento,32 000 AZN,2016,2.0 L,109 000 km,Bakı
Nissan Wingroad,16 850 AZN,2017,1.5 L,42 200 km,Bakı
Kia Sorento,31 200 AZN,2013,2.2 L,131 000 km,Bakı
Mercedes E 200,37 000 $,2018,2.0 L,110 000 km,Bakı
Hyundai Sonata,19 900 AZN,2011,2.4 L,210 000 km,Bakı
Ford Fusion (North America),19 500 AZN,2014,1.5 L,188 293 km,Bakı
Saipa 132,5 500 AZN,2013,1.3 L,182 559 km,Ucar
Mercedes C 180,14 250 AZN,2004,1.8 L,290 000 km,Bakı
Opel Astra,11 600 AZN,2007,1.3 L,269 000 km,Bakı
Land Rover Discovery,23 500 $,2012,3.0 L,260 000 km,Bakı
Ford Transit,16 900 AZN,2001,2.0 L,500 000 km,Bakı
Volkswagen Passat,20 000 AZN,2013,1.8 L,128 000 km,Bakı
Hyundai Accent,19 800 AZN,2014,1.6 L,175 000 km,Bakı
BMW 328,19 500 $,2015,2.0 L,60 783 km,Bakı
Opel Vectra,4 600 AZN,1993,1.6 L,38 000 km,Zaqatala
Audi S5,16 000 $,2013,3.0 L,145 000 km,Bakı
Kia K5,28 700 AZN,2015,1.7 L,108 300 km,Bakı
Jaguar XE,22 000 $,2017,2.0 L,81 000 km,Bakı
BMW 318,9 950 AZN,1997,1.8 L,230 000 km,Bakı
BYD Song Plus,27 300 $,2023,1.5 L,0 km,Bakı
Mercedes E 240,13 800 AZN,1998,2.4 L,290 000 km,Hacıqabul
Kia Rio,13 400 AZN,2009,1.5 L,186 000 km,Bakı
Mercedes C 180,6 700 AZN,1993,1.8 L,222 220 km,Cəlilabad
Mercedes E 220 d,10 200 AZN,1997,2.2 L,705 000 km,Bakı
Chevrolet Cobalt,6 000 AZN,2023,1.5 L,44 500 km,Qəbələ
Ford Fusion (North America),23 500 AZN,2017,2.0 L,200 000 km,Bakı
Lexus IS 200,36 500 AZN,2016,2.0 L,139 000 km,Bakı
Opel Astra,12 100 AZN,2006,1.3 L,400 000 km,Ağdam
Toyota Camry,22 500 AZN,2011,2.4 L,210 000 km,Mingəçevir
Peugeot 3008,44 900 AZN,2022,2.0 L,0 km,Bakı
Toyota Land Cruiser,71 900 $,2018,4.6 L,121 000 km,Bakı
Toyota Land Cruiser,26 540 $,2008,4.7 L,247 131 km,Bakı
Voyah Passion,43 900 $,2024,1.5 L,0 km,Bakı
Porsche Cayenne Turbo,30 000 AZN,2010,4.8 L,325 000 km,Bakı
Hyundai Sonata,11 000 AZN,2006,2.4 L,484 970 km,Bakı
Kia Sorento,34 900 AZN,2015,2.0 L,129 000 km,Bakı
Volkswagen Arteon,26 500 $,2018,2.0 L,68 000 km,Bakı
BMW X7,108 000 $,2021,3.0 L,38 000 km,Bakı
Hyundai Accent,21 500 AZN,2015,1.4 L,89 300 km,Bakı
Kia Sportage,25 500 AZN,2014,2.0 L,248 000 km,Bakı
Hyundai Santa Fe,35 200 AZN,2014,2.0 L,110 000 km,Bakı
Lexus ES 200,37 700 $,2022,2.0 L,67 300 km,Bakı
Infiniti QX70,21 900 $,2014,3.7 L,139 500 km,Bakı
BMW 530e,55 000 $,2021,2.0 L,29 000 km,Bakı
Mercedes E 220 d,16 300 AZN,1999,2.2 L,380 000 km,Bakı
Toyota RAV4,6 400 AZN,1998,2.0 L,576 145 km,Xırdalan
Hyundai Santa Fe,11 111 $,2009,2.2 L,400 000 km,Bakı
Toyota Land Cruiser,103 500 $,2023,3.5 L,9 350 km,Bakı
Ford Transit,15 200 AZN,1997,2.5 L,22 222 km,Bakı
Dacia Logan,11 500 AZN,2007,1.5 L,214 543 km,Bakı
Hyundai Elantra,26 300 AZN,2019,2.0 L,79 600 km,Bakı
Toyota Prius,10 400 AZN,2007,1.5 L,229 232 km,Bakı
Kia Sorento,44 800 AZN,2015,2.2 L,115 800 km,Bakı
Ford Fusion,17 700 AZN,2015,1.5 L,188 755 km,Bakı
Mitsubishi Pajero Sport,29 900 $,2019,3.0 L,82 000 km,Sumqayıt
Kia Optima,15 900 AZN,2008,2.7 L,174 000 km,Bakı
Daewoo Leganza,6 000 AZN,2000,2.0 L,366 000 km,Bakı
Hyundai Elantra,16 000 $,2020,2.0 L,62 603 km,Bakı
Geely Okavango,39 900 AZN,2023,1.5 L,0 km,Bakı
Mercedes C 200,9 000 AZN,1995,2.0 L,334 560 km,Sumqayıt
Toyota Prius,16 500 AZN,2009,1.8 L,22 270 km,Bakı
Porsche Taycan,93 500 $,2022,0.0 L,11 500 km,Bakı
Mercedes Vito 115,31 200 AZN,2008,2.2 L,214 000 km,Zərdab
Geely Okavango,43 500 AZN,2024,1.5 L,0 km,Bakı
Geely Okavango,46 500 AZN,2024,1.5 L,0 km,Bakı
Volkswagen ID.6,65 900 AZN,2023,0.0 L,0 km,Bakı
Toyota Land Cruiser,46 000 $,2014,4.7 L,133 800 km,Bakı
Kia Stonic,33 500 AZN,2023,1.4 L,0 km,Bakı
Kia Sportage,26 300 AZN,2013,2.0 L,143 000 km,Bakı
Audi A6,33 250 AZN,2014,2.8 L,147 250 km,Bakı
Mercedes GL 350,36 500 $,2013,3.0 L,290 000 km,Bakı
Hyundai Accent,19 500 AZN,2014,1.4 L,161 000 km,Bakı
Opel Astra,13 800 AZN,2010,1.3 L,195 000 km,Şirvan
Mercedes Sprinter 416,33 000 AZN,2003,2.7 L,330 000 km,Mingəçevir
Opel Astra,12 800 AZN,2008,1.8 L,303 000 km,Kürdəmir
Mercedes GL 500,39 900 $,2014,4.7 L,109 000 km,Bakı
Toyota Land Cruiser,27 500 $,2009,4.7 L,250 000 km,Xaçmaz
Land Rover Range Rover,33 000 AZN,2008,4.2 L,235 000 km,Sumqayıt
Kia Sorento,42 000 AZN,2017,2.0 L,134 000 km,Bakı
LADA (VAZ) Granta,9 100 AZN,2013,1.6 L,44 878 km,Gəncə
Toyota Land Cruiser,61 540 $,2018,4.0 L,113 398 km,Bakı
LADA (VAZ) Niva,14 500 AZN,2018,1.7 L,70 000 km,Bakı
Nissan Note,14 500 AZN,2015,1.2 L,106 000 km,Bakı
LADA (VAZ) 2107,9 000 AZN,2011,1.6 L,171 200 km,Göyçay
Hyundai Avante,21 000 AZN,2013,1.6 L,186 303 km,Bakı
Mercedes E 220 d,42 500 AZN,2015,2.2 L,183 581 km,Bakı
Ssang Yong Kyron,4 000 AZN,2007,3.2 L,450 000 km,Xızı
BMW 528,25 000 AZN,2014,2.0 L,125 100 km,Masallı
BMW 528,27 500 AZN,2013,2.0 L,215 000 km,Bakı
BMW 328,28 000 AZN,2013,2.0 L,221 300 km,Gəncə
Chevrolet Aveo,9 700 AZN,2011,1.2 L,221 400 km,Bakı
Opel Meriva,9 200 AZN,2008,1.3 L,349 000 km,Bakı
Mercedes GL 450,41 600 $,2016,3.0 L,120 000 km,Bakı
Kia Sorento,28 000 AZN,2010,2.0 L,182 764 km,Qusar
Opel Astra,8 600 AZN,1999,1.6 L,537 500 km,Bakı
Toyota Camry,26 500 AZN,2013,2.5 L,264 000 km,Bakı
Chevrolet Monza,26 700 AZN,2023,1.3 L,4 000 km,Bakı
Opel Astra,8 400 AZN,1998,1.6 L,330 000 km,Lənkəran
Kia Ceed,13 900 AZN,2008,1.6 L,336 000 km,Bakı
Hyundai Sonata,12 700 AZN,2005,2.4 L,280 000 km,Ucar
